numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[ 1 20],[0.046875 0.9375  ],[0 1],[0.         0.05853521],[2572 1280],[-0.04492188  0.        ],[0.01171875 0.9375    ],[0. 0.],background
2,[ 1 20],[0.046875 0.9375  ],[0 1],[0.         0.05853521],[2560 1070],[-0.04492188 -0.02929688],[0.01171875 0.9375    ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 1],[0.         0.05853521],[2545  886],[-0.04492188 -0.0625    ],[0.01171875 0.98242188],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 2],[0.         0.11707043],[2539 1295],[-0.04492188  0.        ],[0.01171875 0.984375  ],[0. 0.],background
3,[ 1 21 22],[0.046875 0.984375 1.03125 ],[ 0  2 -3],[ 0.          0.11707043 -0.17560564],[2532 1444  118],[-0.04492188 -0.03125     0.03320312],[0.01171875 0.984375   1.03125   ],[0. 0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 2],[0.         0.11707043],[2530 1114],[-0.04492188 -0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
3,[ 1 21 57],[0.046875 0.984375 2.671875],[0 2 4],[0.         0.11707043 0.23414086],[2531 1143   19],[-0.04492188  0.          0.08398438],[0.01171875 0.984375   2.671875  ],[0. 0. 0.],background
3,[ 1 21 58],[0.046875 0.984375 2.71875 ],[0 2 4],[0.         0.11707043 0.23414086],[2520 1415   21],[-0.04492188  0.03125     0.16992188],[0.01171875 0.984375   2.71289062],[0. 0. 0.],background
3,[ 1 21 58],[0.046875 0.984375 2.71875 ],[0 2 5],[0.         0.11707043 0.29267607],[2526  821   28],[-0.04492188  0.03125     0.16992188],[0.01171875 0.984375   2.71289062],[0. 0. 0.],background
2,[ 1 22],[0.046875 1.03125 ],[0 3],[0.         0.17560564],[2521  394],[-0.04492188  0.12890625],[0.01171875 1.0234375 ],[0. 0.],background
2,[ 1 22],[0.046875 1.03125 ],[0 3],[0.         0.17560564],[2517  130],[-0.04492188  0.16210938],[0.01171875 1.01953125],[0. 0.],background
1,[1],[0.046875],[0],[0.],[2519],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2517],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2515],[-0.04492188],[0.01171875],[0.],background
3,[ 1 19 22],[0.046875 0.890625 1.03125 ],[ 0  2 -4],[ 0.          0.11707043 -0.23414086],[2513   33  100],[-0.04492188 -0.4453125   0.16210938],[0.01171875 0.77148438 1.01953125],[0. 0. 0.],background
3,[37 22 21],[1.734375 1.03125  0.984375],[-6 -5 -2],[-0.35121129 -0.29267607 -0.11707043],[ 29 645 243],[0.16210938 0.12890625 0.12304688],[1.7265625 1.0234375 0.9765625],[0. 0. 0.],background
7,[ 1 26 23 58 21 58 26],[0.046875 1.21875  1.078125 2.71875  0.984375 2.71875  1.21875 ],[ 0  4  5 -6 -3 -3  4],"[ 0.          0.23414086  0.29267607 -0.35121129 -0.17560564 -0.17560564
  0.23414086]",[2506  109  230   35  493   58   80],"[-0.04492188  0.          0.06835938  0.16992188  0.0625     -2.63476562
 -0.45703125]","[0.01171875 1.21875    1.07617188 2.71289062 0.98242188 0.67382812
 1.13085938]",[0. 0. 0. 0. 0. 0. 0.],background
5,[ 1 23 58 21 58],[0.046875 1.078125 2.71875  0.984375 2.71875 ],[ 0  2 -5 -2 -5],[ 0.          0.11707043 -0.29267607 -0.11707043 -0.29267607],[2505  909   29  504   22],[-0.04492188  0.03320312  0.0859375   0.03125    -2.71875   ],[0.01171875 1.078125   2.71679688 0.984375   0.        ],[0. 0. 0. 0. 0.],background
