numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
1,[8],[0.375],[6],[0.35121129],[26],[0.03515625],[0.37304688],[0.],background
1,[12],[0.5625],[3],[0.17560564],[41],[0.05273438],[0.56054688],[0.],background
3,[34 11 34],[1.59375  0.515625 1.59375 ],[ 0 -4  0],[ 0.         -0.23414086  0.        ],[807  75 753],[-0.15039062  0.06445312  0.54882812],[1.58789062 0.51171875 1.49609375],[0. 0. 0.],background
3,[34 11 34],[1.59375  0.515625 1.59375 ],[ 0 -4  0],[ 0.         -0.23414086  0.        ],[811  46 756],[-0.15039062  0.03320312  0.54882812],[1.58789062 0.515625   1.49609375],[0. 0. 0.],background
7,[32 34 18 10 53 32 34],[1.5      1.59375  0.84375  0.46875  2.484375 1.5      1.59375 ],[ 0  0  2 -3 -3  0  0],"[ 0.          0.          0.11707043 -0.17560564 -0.17560564  0.
  0.        ]",[853 829  49  94  96 672 759],"[ 0.1875     -0.15039062 -0.39648438  0.05859375  0.         -0.328125
  0.54882812]","[1.48828125 1.58789062 0.74609375 0.46484375 2.484375   1.46289062
 1.49609375]",[0. 0. 0. 0. 0. 0. 0.],background
8,[32 34 18 10 53 32 34 53],[1.5      1.59375  0.84375  0.46875  2.484375 1.5      1.59375  2.484375],[ 0  0  2 -4 -3  0  0 -3],"[ 0.          0.          0.11707043 -0.23414086 -0.17560564  0.
  0.         -0.17560564]",[890 825  29  97  59 679 757  46],"[ 0.1875     -0.09960938 -0.36914062  0.05859375  0.078125   -0.328125
  0.54882812 -0.85351562]","[1.48828125 1.59179688 0.75976562 0.46484375 2.484375   1.46289062
 1.49609375 2.33398438]",[0. 0. 0. 0. 0. 0. 0. 0.],background
5,[32 34 10 32 34],[1.5     1.59375 0.46875 1.5     1.59375],[ 0  0 -4  0  0],[ 0.          0.         -0.23414086  0.          0.        ],[879 823 100 676 754],[ 0.1875     -0.15039062  0.04492188 -0.328125    0.54882812],[1.48828125 1.58789062 0.46679688 1.46289062 1.49609375],[0. 0. 0. 0. 0.],background
7,[32 34 16  9 32 34 16],[1.5      1.59375  0.75     0.421875 1.5      1.59375  0.75    ],[ 0  0 -5 -4  0  0 -5],"[ 0.          0.         -0.29267607 -0.23414086  0.          0.
 -0.29267607]",[872 835  29  49 685 754  25],"[ 0.1875     -0.15039062  0.1640625   0.05273438 -0.328125    0.54882812
 -0.1171875 ]","[1.48828125 1.58789062 0.73242188 0.41796875 1.46289062 1.49609375
 0.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
4,[32 34 32 34],[1.5     1.59375 1.5     1.59375],[0 0 0 0],[0. 0. 0. 0.],[891 818 689 747],[ 0.1875     -0.15039062 -0.328125    0.54882812],[1.48828125 1.58789062 1.46289062 1.49609375],[0. 0. 0. 0.],background
6,[32 34 15 32 34 15],[1.5      1.59375  0.703125 1.5      1.59375  0.703125],[ 0  0 -4  0  0 -4],[ 0.          0.         -0.23414086  0.          0.         -0.23414086],[861 812  27 681 759  24],[ 0.1875     -0.15039062 -0.109375   -0.328125    0.54882812  0.17578125],[1.48828125 1.58789062 0.6953125  1.46289062 1.49609375 0.68164062],[0. 0. 0. 0. 0. 0.],background
5,[32 34  8 32 34],[1.5     1.59375 0.375   1.5     1.59375],[ 0  0 -4  0  0],[ 0.          0.         -0.23414086  0.          0.        ],[860 812 135 657 749],[ 0.1875     -0.15039062  0.046875   -0.328125    0.54882812],[1.48828125 1.58789062 0.37304688 1.46289062 1.49609375],[0. 0. 0. 0. 0.],background
6,[32 34  8 32 34  8],[1.5     1.59375 0.375   1.5     1.59375 0.375  ],[ 0  0 -7  0  0 -7],[ 0.         0.        -0.4097465  0.         0.        -0.4097465],[878 818  23 680 749  18],[ 0.1875     -0.15039062  0.22265625 -0.328125    0.54882812  0.0703125 ],[1.48828125 1.58789062 0.30273438 1.46289062 1.49609375 0.36914062],[0. 0. 0. 0. 0. 0.],background
5,[32 34  7 32 34],[1.5      1.59375  0.328125 1.5      1.59375 ],[ 0  0 -6  0  0],[ 0.          0.         -0.35121129  0.          0.        ],[860 813  73 677 755],[ 0.1875     -0.15039062  0.04101562 -0.328125    0.54882812],[1.48828125 1.58789062 0.32617188 1.46289062 1.49609375],[0. 0. 0. 0. 0.],background
5,[32 34  7 32 34],[1.5      1.59375  0.328125 1.5      1.59375 ],[ 0  0 -6  0  0],[ 0.          0.         -0.35121129  0.          0.        ],[867 822  43 672 750],[ 0.1875     -0.15039062  0.03125    -0.328125    0.54882812],[1.48828125 1.58789062 0.32617188 1.46289062 1.49609375],[0. 0. 0. 0. 0.],background
5,[32 34 14 32 34],[1.5     1.59375 0.65625 1.5     1.59375],[ 0  0 -5  0  0],[ 0.          0.         -0.29267607  0.          0.        ],[870 807  54 673 753],[ 0.1875     -0.15039062 -0.1640625  -0.328125    0.54882812],[1.48828125 1.58789062 0.63476562 1.46289062 1.49609375],[0. 0. 0. 0. 0.],swipePrev
6,[ 9 32 34  9 32 34],[0.421875 1.5      1.59375  0.421875 1.5      1.59375 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[143 859 823 132 667 753],[ 0.08007812  0.1875     -0.15039062 -0.08007812 -0.328125    0.54882812],[0.4140625  1.48828125 1.58789062 0.4140625  1.46289062 1.49609375],[0. 0. 0. 0. 0. 0.],swipePrev
7,[ 9 28 32 34  9 32 34],[0.421875 1.3125   1.5      1.59375  0.421875 1.5      1.59375 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[142 554 867 824 132 665 751],"[ 0.06640625  0.04101562  0.1875     -0.15039062 -0.08007812 -0.328125
  0.54882812]","[0.41601562 1.3125     1.48828125 1.58789062 0.4140625  1.46289062
 1.49609375]",[0. 0. 0. 0. 0. 0. 0.],swipePrev
4,[32 34 32 34],[1.5     1.59375 1.5     1.59375],[0 0 0 0],[0. 0. 0. 0.],[853 830 669 748],[ 0.1875     -0.15039062 -0.328125    0.54882812],[1.48828125 1.58789062 1.46289062 1.49609375],[0. 0. 0. 0.],swipePrev
6,[32 34  6 32 34  6],[1.5     1.59375 0.28125 1.5     1.59375 0.28125],[ 0  0 -4  0  0 -4],[ 0.          0.         -0.23414086  0.          0.         -0.23414086],[873 815  28 679 740  21],[ 0.1875     -0.15039062 -0.03515625 -0.328125    0.54882812  0.140625  ],[1.48828125 1.58789062 0.27929688 1.46289062 1.49609375 0.24414062],[0. 0. 0. 0. 0. 0.],swipePrev
10,[ 9 28 32 34  5 28  9 32 34  5],"[0.421875 1.3125   1.5      1.59375  0.234375 1.3125   0.421875 1.5
 1.59375  0.234375]",[ 0  0  0  0 -4 -3  0  0  0 -4],"[ 0.          0.          0.          0.         -0.23414086 -0.17560564
  0.          0.          0.         -0.23414086]",[143 571 868 824  57  50 136 674 748  50],"[ 0.06640625  0.04101562  0.1875     -0.15039062 -0.07421875 -0.04101562
 -0.08007812 -0.328125    0.54882812  0.015625  ]","[0.41601562 1.3125     1.48828125 1.58789062 0.22265625 1.3125
 0.4140625  1.46289062 1.49609375 0.234375  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
6,[ 5  5 15  5  5 15],[0.234375 0.234375 0.703125 0.234375 0.234375 0.703125],[13 16 -2 13 16 -2],[ 0.76095779  0.93656344 -0.11707043  0.76095779  0.93656344 -0.11707043],[ 664 1589  233  527 1219  186],[-0.07421875 -0.08789062 -0.30859375 -0.16210938  0.1171875   0.39648438],[0.22265625 0.21679688 0.6328125  0.16992188 0.203125   0.58203125],[0. 0. 0. 0. 0. 0.],swipePrev
10,[ 7  7  7  6 23 12 23 15  6 23],"[0.328125 0.328125 0.328125 0.28125  1.078125 0.5625   1.078125 0.703125
 0.28125  1.078125]",[ 16  19  22  25 -23 -20 -20  -3  25 -23],"[ 0.93656344  1.11216908  1.28777473  1.46338037 -1.34630994 -1.1707043
 -1.1707043  -0.17560564  1.46338037 -1.34630994]",[2336 1630  989  938   33   28   48  315  692   27],"[-0.0625     -0.0625     -0.02148438 -0.03515625  0.1015625  -0.140625
 -0.37109375 -0.39648438 -0.15039062  0.5390625 ]","[0.32226562 0.32226562 0.328125   0.27929688 1.07421875 0.54492188
 1.01171875 0.58203125 0.23828125 0.93359375]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
10,[ 9 16  8  8  8 15  9  8  8  8],"[0.421875 0.75     0.375    0.375    0.375    0.703125 0.421875 0.375
 0.375    0.375   ]",[ 0  2 21 26 30 -3  0 21 26 30],"[ 0.          0.11707043  1.22923951  1.52191558  1.75605644 -0.17560564
  0.          1.22923951  1.52191558  1.75605644]",[ 146   95 2795 1770  466  443  137 2012 1334  430],"[ 0.06640625 -0.1640625  -0.09375    -0.140625    0.140625   -0.3515625
 -0.08007812  0.1171875   0.         -0.01171875]","[0.41601562 0.73242188 0.36328125 0.34765625 0.34765625 0.609375
 0.4140625  0.35546875 0.375      0.375     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
14,[23 18 51 30 11 11 21 21 21 15 51 30 11 15],"[1.078125 0.84375  2.390625 1.40625  0.515625 0.515625 0.984375 0.984375
 0.984375 0.703125 2.390625 1.40625  0.515625 0.703125]",[  0  14  14  20  27  30 -22  -7  -4  -2  14  20  30  -2],"[ 0.          0.81949301  0.81949301  1.1707043   1.5804508   1.75605644
 -1.28777473 -0.4097465  -0.23414086 -0.11707043  0.81949301  1.1707043
  1.75605644 -0.11707043]",[1457  137   13   34 2962 2718  119   90   66  304   12   31 2386  288],"[-0.03320312 -0.08007812  2.01757812 -0.30859375  0.16210938 -0.08007812
 -0.12304688 -0.27734375 -0.24609375  0.39648438  0.          0.22070312
 -0.2578125   0.1328125 ]","[1.078125   0.83984375 1.28320312 1.37304688 0.49023438 0.50976562
 0.9765625  0.9453125  0.953125   0.58203125 2.390625   1.38867188
 0.44726562 0.69140625]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
10,[23 15 18 25 13 30 13 34 14 30],"[1.078125 0.703125 0.84375  1.171875 0.609375 1.40625  0.609375 1.59375
 0.65625  1.40625 ]",[  0  11  15  19  24  25  31 -28  -2  25],"[ 0.          0.64388736  0.87802822  1.11216908  1.40484515  1.46338037
  1.81459166 -1.63898601 -0.11707043  1.46338037]",[1734  390  164   54  129   66 3420   70  273   59],"[-0.03320312 -0.04492188 -0.05273438  0.          0.05664062  0.08789062
 -0.09570312 -0.25       -0.28710938 -0.43945312]","[1.078125   0.70117188 0.84179688 1.171875   0.60742188 1.40429688
 0.6015625  1.57421875 0.58984375 1.3359375 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
11,[23 16 58 19 21 16 15 16 58 21 16],"[1.078125 0.75     2.71875  0.890625 0.984375 0.75     0.703125 0.75
 2.71875  0.984375 0.75    ]",[ 0  4  4 15 19 23 26 29  4 19 29],"[0.         0.23414086 0.23414086 0.87802822 1.11216908 1.34630994
 1.52191558 1.69752123 0.23414086 1.11216908 1.69752123]",[1707   76  130  162   59 1269 2520  699  105   54  585],"[-0.06835938 -0.1171875   0.0859375  -0.02734375  0.0625      0.046875
 -0.06640625 -0.2578125  -0.765625   -0.30859375  0.2109375 ]","[1.07617188 0.74023438 2.71679688 0.890625   0.98242188 0.74804688
 0.69921875 0.70507812 2.609375   0.93554688 0.72070312]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
