numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[676 259 483],[ 0.11132812 -1.7265625  -0.22265625],[0.8828125  0.44140625 0.86328125],[0. 0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[763 250],[ 0.08789062 -1.7265625 ],[0.93359375 0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[840 249],[ 0.08789062 -1.7265625 ],[0.93359375 0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[785 250],[ 0.08789062 -1.7265625 ],[0.93359375 0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[798 250],[ 0.08789062 -1.7265625 ],[0.93359375 0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[781 251],[ 0.08789062 -1.7265625 ],[0.93359375 0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[802 250],[ 0.08789062 -1.7265625 ],[0.93359375 0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[879 250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[987 249],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[972 250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[974 248],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[1004  248],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
1,[20],[0.9375],[0],[0.],[991],[0.1171875],[0.9296875],[0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[963 251],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[985 250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[1001  250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[995 249],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[968 249],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[972 250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[962 250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[954 249],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[990 250],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[1058  251],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
