numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1030  292],[ 0.08398438 -1.7265625 ],[0.88671875 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1397  286],[ 0.08398438 -1.7265625 ],[0.88671875 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1841  285],[ 0.08398438 -1.7265625 ],[0.88671875 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[2129  286],[ 0.11132812 -1.7265625 ],[0.8828125  0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[2078  284],[ 0.11132812 -1.7265625 ],[0.8828125  0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1728  284],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1737  285],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1740  284],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1524  284],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1129  284],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1029  285],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[855 284],[ 0.13867188 -1.7265625 ],[0.87890625 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[870 285],[ 0.11132812 -1.7265625 ],[0.8828125  0.44140625],[0. 0.],background
3,[17 20 38],[0.796875 0.9375   1.78125 ],[0 0 0],[0. 0. 0.],[395 800 283],[ 0.02539062  0.1171875  -1.7265625 ],[0.796875   0.9296875  0.44140625],[0. 0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[803 284],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
2,[20 38],[0.9375  1.78125],[0 0],[0. 0.],[757 284],[ 0.1171875 -1.7265625],[0.9296875  0.44140625],[0. 0.],background
3,[17 20 38],[0.796875 0.9375   1.78125 ],[0 0 0],[0. 0. 0.],[380 755 283],[ 0.02539062  0.1171875  -1.7265625 ],[0.796875   0.9296875  0.44140625],[0. 0. 0.],background
3,[17 20 38],[0.796875 0.9375   1.78125 ],[0 0 0],[0. 0. 0.],[401 738 285],[ 0.02539062  0.1171875  -1.7265625 ],[0.796875   0.9296875  0.44140625],[0. 0. 0.],background
3,[18 20 38],[0.84375 0.9375  1.78125],[0 0 0],[0. 0. 0.],[681 636 285],[ 0.          0.08789062 -1.7265625 ],[0.84375    0.93359375 0.44140625],[0. 0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[875 285],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1195  282],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1243  283],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1415  284],[ 0.08398438 -1.7265625 ],[0.88671875 0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1571  286],[ 0.11132812 -1.7265625 ],[0.8828125  0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1553  283],[ 0.11132812 -1.7265625 ],[0.8828125  0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[1324  284],[ 0.11132812 -1.7265625 ],[0.8828125  0.44140625],[0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[1107  284  895],[ 0.13867188 -1.7265625  -0.22265625],[0.87890625 0.44140625 0.86328125],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[825 283 821],[ 0.1953125 -1.7265625 -0.1953125],[0.86914062 0.44140625 0.86914062],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[835 285 773],[-0.16796875 -1.7265625   0.1953125 ],[0.875      0.44140625 0.86914062],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[822 285 806],[-0.16796875 -1.7265625   0.1953125 ],[0.875      0.44140625 0.86914062],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[876 283 677],[-0.11132812 -1.7265625   0.25      ],[0.8828125  0.44140625 0.85546875],[0. 0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[921 285],[-0.08398438 -1.7265625 ],[0.88671875 0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[970 283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[961 284],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[991 283],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1006  282],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1034  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1063  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1059  285],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1052  284],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1050  285],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1031  283],[-0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[1029  282  808],[-0.11132812 -1.7265625   0.1953125 ],[0.8828125  0.44140625 0.86914062],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[1000  284  847],[-0.11132812 -1.7265625   0.1953125 ],[0.8828125  0.44140625 0.86914062],[0. 0. 0.],background
4,[18 20 38 20],[0.84375 0.9375  1.78125 0.9375 ],[0 0 0 0],[0. 0. 0. 0.],[873 883 283 643],[-0.05273438  0.14648438 -1.7265625  -0.17578125],[0.84179688 0.92578125 0.44140625 0.921875  ],[0. 0. 0. 0.],background
3,[18 20 38],[0.84375 0.9375  1.78125],[0 0 0],[0. 0. 0.],[839 915 284],[-0.05273438  0.14648438 -1.7265625 ],[0.84179688 0.92578125 0.44140625],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[1048  284  846],[ 0.16796875 -1.7265625  -0.13867188],[0.875      0.44140625 0.87890625],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[941 285 804],[ 0.1953125  -1.7265625  -0.11132812],[0.86914062 0.44140625 0.8828125 ],[0. 0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[962 283],[-0.05273438 -1.7265625 ],[0.84179688 0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1009  283],[-0.05273438 -1.7265625 ],[0.84179688 0.44140625],[0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[975 284 699],[-0.08398438 -1.7265625   0.25      ],[0.88671875 0.44140625 0.85546875],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[766 282 563],[-0.11132812 -1.7265625   0.27929688],[0.8828125  0.44140625 0.84570312],[0. 0. 0.],background
3,[19 38 19],[0.890625 1.78125  0.890625],[0 0 0],[0. 0. 0.],[624 283 500],[-0.13867188 -1.7265625   0.25      ],[0.87890625 0.44140625 0.85546875],[0. 0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[874 284],[ 0.05273438 -1.7265625 ],[0.84179688 0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[955 286],[ 0.05273438 -1.7265625 ],[0.84179688 0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1126  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1200  284],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1139  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1029  284],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1036  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1012  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1013  281],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1035  284],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[1003  283],[ 0.        -1.7265625],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[976 284],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[895 282],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[833 284],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[818 284],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[748 283],[ 0.02734375 -1.7265625 ],[0.84375    0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[759 283],[ 0.02734375 -1.7265625 ],[0.890625   0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[771 284],[ 0.02734375 -1.7265625 ],[0.890625   0.44140625],[0. 0.],background
2,[19 38],[0.890625 1.78125 ],[0 0],[0. 0.],[817 283],[ 0.02734375 -1.7265625 ],[0.890625   0.44140625],[0. 0.],background
2,[18 38],[0.84375 1.78125],[0 0],[0. 0.],[633 283],[ 0.05273438 -1.7265625 ],[0.84179688 0.44140625],[0. 0.],background
4,[18 20 38 20],[0.84375 0.9375  1.78125 0.9375 ],[0 0 0 0],[0. 0. 0. 0.],[678 498 284 366],[ 0.05273438  0.02929688 -1.7265625  -0.26367188],[0.84179688 0.9375     0.44140625 0.90039062],[0. 0. 0. 0.],background
4,[18 20 38 20],[0.84375 0.9375  1.78125 0.9375 ],[0 0 0 0],[0. 0. 0. 0.],[774 488 284 385],[ 0.05273438  0.02929688 -1.7265625  -0.29296875],[0.84179688 0.9375     0.44140625 0.890625  ],[0. 0. 0. 0.],background
