numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[5995 4510],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[6011 4792],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[5965 4866],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[6265 4928],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[6578 5038],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
3,[11  8  8],[0.515625 0.375    0.375   ],[0 1 1],[0.         0.05853521 0.05853521],[7132 1349  975],[ 0.14453125 -0.09375    -0.22265625],[0.49414062 0.36328125 0.30273438],[0. 0. 0.],background
3,[11  8  8],[0.515625 0.375    0.375   ],[0 1 1],[0.         0.05853521 0.05853521],[7384 1048  935],[ 0.14453125 -0.10546875 -0.234375  ],[0.49414062 0.359375   0.29296875],[0. 0. 0.],background
3,[11  8  8],[0.515625 0.375    0.375   ],[0 2 2],[0.         0.11707043 0.11707043],[7688 1709 1348],[ 0.14453125 -0.08203125 -0.22265625],[0.49414062 0.36523438 0.30273438],[0. 0. 0.],background
6,[11 32  8 12  8 12],[0.515625 1.5      0.375    0.5625   0.375    0.5625  ],[0 0 1 4 1 4],[0.         0.         0.05853521 0.23414086 0.05853521 0.23414086],[7263 1374  928   57  764   48],[ 0.14453125 -0.234375   -0.08203125  0.         -0.234375    0.2109375 ],[0.49414062 1.48242188 0.36523438 0.5625     0.29296875 0.52148438],[0. 0. 0. 0. 0. 0.],background
4,[11 32 13 13],[0.515625 1.5      0.609375 0.609375],[0 0 5 5],[0.         0.         0.29267607 0.29267607],[6506 1431   56   41],[ 0.12890625 -0.234375   -0.05664062  0.19140625],[0.5        1.48242188 0.60742188 0.578125  ],[0. 0. 0. 0.],background
7,[ 8 11 32  9 12 14 14],[0.375    0.515625 1.5      0.421875 0.5625   0.65625  0.65625 ],[ 0  0  0  3  6 10 10],"[0.         0.         0.         0.17560564 0.35121129 0.58535215
 0.58535215]",[1976 4486 1541  181   93   93   91],"[-0.05859375  0.12890625 -0.234375    0.          0.10546875  0.18554688
 -0.08203125]","[0.37109375 0.5        1.48242188 0.421875   0.55273438 0.62890625
 0.65039062]",[0. 0. 0. 0. 0. 0. 0.],background
5,[32  9 14  9 14],[1.5      0.421875 0.65625  0.421875 0.65625 ],[ 0  5 12  5 12],[0.         0.29267607 0.70242258 0.29267607 0.70242258],[1680   96   84   71   66],[-0.234375   -0.02734375  0.1640625   0.15820312 -0.08203125],[1.48242188 0.421875   0.63476562 0.390625   0.65039062],[0. 0. 0. 0. 0.],button
3,[32 10 13],[1.5      0.46875  0.609375],[ 0  5 11],[0.         0.29267607 0.64388736],[1811  740  164],[-0.234375    0.16210938 -0.05664062],[1.48242188 0.43945312 0.60742188],[0. 0. 0.],button
5,[11 32 10 18 10],[0.515625 1.5      0.46875  0.84375  0.46875 ],[0 0 3 7 3],[0.         0.         0.17560564 0.4097465  0.17560564],[3682 1777  218  160  170],[ 0.12890625 -0.234375   -0.08789062  0.18554688  0.16210938],[0.5        1.48242188 0.4609375  0.82421875 0.43945312],[0. 0. 0. 0. 0.],button
5,[11 32 16 18 18],[0.515625 1.5      0.75     0.84375  0.84375 ],[0 0 4 4 4],[0.         0.         0.23414086 0.23414086 0.23414086],[4006 1744   92   66   54],[ 0.14453125 -0.234375   -0.046875    0.15820312 -0.15820312],[0.49414062 1.48242188 0.74804688 0.828125   0.828125  ],[0. 0. 0. 0. 0.],button
3,[11 32 15],[0.515625 1.5      0.703125],[0 0 4],[0.         0.         0.23414086],[5074 1804   63],[ 0.14453125 -0.1875     -0.26367188],[0.49414062 1.48828125 0.65234375],[0. 0. 0.],button
3,[11 32 16],[0.515625 1.5      0.75    ],[0 0 4],[0.         0.         0.23414086],[5793 1763   24],[ 0.14453125 -0.1875      0.515625  ],[0.49414062 1.48828125 0.54492188],[0. 0. 0.],button
2,[11 32],[0.515625 1.5     ],[0 0],[0. 0.],[6214 1645],[ 0.14453125 -0.234375  ],[0.49414062 1.48242188],[0. 0.],button
2,[11 32],[0.515625 1.5     ],[0 0],[0. 0.],[6427 1598],[ 0.14453125 -0.234375  ],[0.49414062 1.48242188],[0. 0.],button
3,[11 32 52],[0.515625 1.5      2.4375  ],[0 0 2],[0.         0.         0.11707043],[6535 1548  191],[ 0.14453125 -0.234375   -0.3046875 ],[0.49414062 1.48242188 2.41796875],[0. 0. 0.],button
2,[11 32],[0.515625 1.5     ],[0 0],[0. 0.],[7409 1279],[ 0.12890625 -0.234375  ],[0.5        1.48242188],[0. 0.],button
4,[11 33 52 33],[0.515625 1.546875 2.4375   1.546875],[0 0 2 0],[0.         0.         0.11707043 0.        ],[7267 1216  189  874],[ 0.12890625 -0.2421875  -0.3046875  -0.82226562],[0.5        1.52734375 2.41796875 1.31054688],[0. 0. 0. 0.],button
1,[11],[0.515625],[0],[0.],[7475],[0.14453125],[0.49414062],[0.],button
3,[ 8 11 46],[0.375    0.515625 2.15625 ],[0 0 3],[0.         0.         0.17560564],[2144 8100   33],[-0.09375     0.12890625 -0.26953125],[0.36328125 0.5        2.13867188],[0. 0. 0.],button
2,[ 8 11],[0.375    0.515625],[0 0],[0. 0.],[2048 8541],[-0.10546875  0.12890625],[0.359375 0.5     ],[0. 0.],button
2,[ 8 11],[0.375    0.515625],[0 0],[0. 0.],[1916 8457],[-0.10546875  0.12890625],[0.359375 0.5     ],[0. 0.],button
1,[11],[0.515625],[0],[0.],[8283],[0.12890625],[0.5],[0.],button
3,[11  8 53],[0.515625 0.375    2.484375],[0 1 7],[0.         0.05853521 0.4097465 ],[7627 1532   42],[ 0.12890625 -0.10546875 -0.078125  ],[0.5      0.359375 2.484375],[0. 0. 0.],button
3,[11  8 53],[0.515625 0.375    2.484375],[0 1 6],[0.         0.05853521 0.35121129],[7767 1372   57],[ 0.12890625 -0.10546875 -0.31054688],[0.5        0.359375   2.46484375],[0. 0. 0.],button
1,[11],[0.515625],[0],[0.],[8256],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7950],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7813],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7764],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7717],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7735],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[8081],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[6794],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[6991],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[8049],[0.12890625],[0.5],[0.],button
4,[11  7  8  8],[0.515625 0.328125 0.375    0.375   ],[ 0 11 14 14],[0.         0.64388736 0.81949301 0.81949301],[6051  381  939  835],[ 0.12890625 -0.08203125 -0.08203125 -0.2109375 ],[0.5        0.31835938 0.36523438 0.31054688],[0. 0. 0. 0.],button
2,[11  8],[0.515625 0.375   ],[0 6],[0.         0.35121129],[7370  955],[ 0.12890625 -0.1171875 ],[0.5        0.35546875],[0. 0.],button
1,[11],[0.515625],[0],[0.],[7594],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7224],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7090],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7347],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7695],[0.12890625],[0.5],[0.],button
2,[11  8],[0.515625 0.375   ],[0 1],[0.         0.05853521],[8121 2524],[ 0.12890625 -0.1171875 ],[0.5        0.35546875],[0. 0.],button
1,[11],[0.515625],[0],[0.],[7697],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7770],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[7157],[0.14453125],[0.49414062],[0.],button
2,[11  8],[0.515625 0.375   ],[0 1],[0.         0.05853521],[7711 1753],[0.14453125 0.0234375 ],[0.49414062 0.375     ],[0. 0.],button
1,[11],[0.515625],[0],[0.],[7502],[0.14453125],[0.49414062],[0.],button
2,[11 32],[0.515625 1.5     ],[0 0],[0. 0.],[7543 1039],[ 0.14453125 -0.234375  ],[0.49414062 1.48242188],[0. 0.],button
1,[11],[0.515625],[0],[0.],[7580],[0.14453125],[0.49414062],[0.],button
1,[11],[0.515625],[0],[0.],[7429],[0.14453125],[0.49414062],[0.],button
2,[11 33],[0.515625 1.546875],[0 0],[0. 0.],[7440 1264],[ 0.14453125 -0.33789062],[0.49414062 1.50976562],[0. 0.],button
2,[11 33],[0.515625 1.546875],[0 0],[0. 0.],[7192 1268],[ 0.14453125 -0.33789062],[0.49414062 1.50976562],[0. 0.],button
2,[11 33],[0.515625 1.546875],[0 0],[0. 0.],[7443 1301],[ 0.14453125 -0.33789062],[0.49414062 1.50976562],[0. 0.],button
2,[11 33],[0.515625 1.546875],[0 0],[0. 0.],[7546 1317],[ 0.14453125 -0.33789062],[0.49414062 1.50976562],[0. 0.],button
4,[11 32  9  9],[0.515625 1.5      0.421875 0.421875],[ 0  0 -5 -5],[ 0.          0.         -0.29267607 -0.29267607],[7550 1155  210  177],[ 0.14453125 -0.234375    0.15820312 -0.19726562],[0.49414062 1.48242188 0.390625   0.37304688],[0. 0. 0. 0.],button
4,[11 33  8  8],[0.515625 1.546875 0.375    0.375   ],[  0   0 -15 -13],[ 0.          0.         -0.87802822 -0.76095779],[7283 1547  744  603],[ 0.14453125 -0.33789062 -0.08203125 -0.0703125 ],[0.49414062 1.50976562 0.36523438 0.36914062],[0. 0. 0. 0.],button
3,[ 8 11 33],[0.375    0.515625 1.546875],[0 0 0],[0. 0. 0.],[3225 7317 1598],[ 0.01171875  0.14453125 -0.33789062],[0.375      0.49414062 1.50976562],[0. 0. 0.],button
4,[ 8 11 33  8],[0.375    0.515625 1.546875 0.375   ],[0 0 0 0],[0. 0. 0. 0.],[4171 7511 1612 3001],[ 0.01171875  0.14453125 -0.33789062 -0.12890625],[0.375      0.49414062 1.50976562 0.3515625 ],[0. 0. 0. 0.],button
4,[ 8 11 33  8],[0.375    0.515625 1.546875 0.375   ],[0 0 0 0],[0. 0. 0. 0.],[3889 7669 1562 3100],[ 0.0234375   0.14453125 -0.33789062 -0.1171875 ],[0.375      0.49414062 1.50976562 0.35546875],[0. 0. 0. 0.],button
4,[ 8 11 33  8],[0.375    0.515625 1.546875 0.375   ],[0 0 0 0],[0. 0. 0. 0.],[4053 7612 1517 2892],[ 0.0234375   0.14453125 -0.33789062 -0.1171875 ],[0.375      0.49414062 1.50976562 0.35546875],[0. 0. 0. 0.],button
4,[ 8 11 33  8],[0.375    0.515625 1.546875 0.375   ],[0 0 0 0],[0. 0. 0. 0.],[3749 7575 1501 2724],[ 0.0234375   0.14453125 -0.33789062 -0.10546875],[0.375      0.49414062 1.50976562 0.359375  ],[0. 0. 0. 0.],button
4,[ 8 11 32  8],[0.375    0.515625 1.5      0.375   ],[ 0  0  0 12],[0.         0.         0.         0.70242258],[2357 7704 1121 1537],[ 0.0234375   0.14453125 -0.234375   -0.08203125],[0.375      0.49414062 1.48242188 0.36523438],[0. 0. 0. 0.],button
2,[11  8],[0.515625 0.375   ],[0 4],[0.         0.23414086],[7704  407],[ 0.14453125 -0.10546875],[0.49414062 0.359375  ],[0. 0.],button
1,[11],[0.515625],[0],[0.],[7841],[0.14453125],[0.49414062],[0.],button
3,[ 8 11 11],[0.375    0.515625 0.515625],[0 0 0],[0. 0. 0.],[1938 7805 5823],[-0.0234375   0.14453125 -0.04882812],[0.375      0.49414062 0.51367188],[0. 0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[7832 5670],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[7919 5632],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],button
3,[11  8 11],[0.515625 0.375    0.515625],[ 0 -1  0],[ 0.         -0.05853521  0.        ],[8025 1817 5966],[ 0.14453125  0.01171875 -0.06445312],[0.49414062 0.375      0.51171875],[0. 0. 0.],button
4,[11  8 11  8],[0.515625 0.375    0.515625 0.375   ],[ 0 -1  0 -1],[ 0.         -0.05853521  0.         -0.05853521],[9061 2357 6615 1764],[ 0.14453125 -0.1171875  -0.06445312  0.0234375 ],[0.49414062 0.35546875 0.51171875 0.375     ],[0. 0. 0. 0.],button
3,[ 8 11 11],[0.375    0.515625 0.515625],[0 0 0],[0. 0. 0.],[2596 9189 6707],[-0.10546875  0.14453125 -0.06445312],[0.359375   0.49414062 0.51171875],[0. 0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[8842 6294],[ 0.14453125 -0.06445312],[0.49414062 0.51171875],[0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[8739 6245],[ 0.14453125 -0.06445312],[0.49414062 0.51171875],[0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[8849 6594],[ 0.14453125 -0.06445312],[0.49414062 0.51171875],[0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[8767 7025],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9019 7196],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[8692 7071],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],button
3,[ 8 11 11],[0.375    0.515625 0.515625],[0 0 0],[0. 0. 0.],[2382 8571 6982],[-0.08203125  0.14453125 -0.04882812],[0.36523438 0.49414062 0.51367188],[0. 0. 0.],button
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[8700 6975],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],button
3,[11 33 11],[0.515625 1.546875 0.515625],[0 0 0],[0. 0. 0.],[9863 1308 7255],[ 0.12890625 -0.43554688 -0.06445312],[0.5        1.484375   0.51171875],[0. 0. 0.],button
4,[11 33  8  8],[0.515625 1.546875 0.375    0.375   ],[ 0  0 -1 -1],[ 0.          0.         -0.05853521 -0.05853521],[9996 1359 1315  957],[ 0.12890625 -0.43554688 -0.1171875   0.09375   ],[0.5        1.484375   0.35546875 0.36328125],[0. 0. 0. 0.],button
2,[11  8],[0.515625 0.375   ],[ 0 -2],[ 0.         -0.11707043],[8766 1321],[ 0.12890625 -0.09375   ],[0.5        0.36328125],[0. 0.],button
4,[ 8 11 33  8],[0.375    0.515625 1.546875 0.375   ],[ 0  0  0 -3],[ 0.          0.          0.         -0.17560564],[2659 9155 1497 1402],[ 0.01171875  0.12890625 -0.43554688 -0.10546875],[0.375    0.5      1.484375 0.359375],[0. 0. 0. 0.],button
1,[11],[0.515625],[0],[0.],[7078],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[6337],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[6234],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[6498],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[6816],[0.12890625],[0.5],[0.],button
4,[11 33  8  8],[0.515625 1.546875 0.375    0.375   ],[0 0 6 6],[0.         0.         0.35121129 0.35121129],[7544 1359  725  626],[ 0.14453125 -0.43554688 -0.19921875 -0.0703125 ],[0.49414062 1.484375   0.31835938 0.36914062],[0. 0. 0. 0.],button
2,[11  8],[0.515625 0.375   ],[0 4],[0.         0.23414086],[7221 1479],[ 0.12890625 -0.09375   ],[0.5        0.36328125],[0. 0.],button
2,[11  8],[0.515625 0.375   ],[0 1],[0.         0.05853521],[9128 1945],[ 0.12890625 -0.10546875],[0.5      0.359375],[0. 0.],button
2,[ 8 11],[0.375    0.515625],[0 0],[0. 0.],[2865 9304],[-0.1171875   0.12890625],[0.35546875 0.5       ],[0. 0.],button
1,[11],[0.515625],[0],[0.],[8789],[0.12890625],[0.5],[0.],button
1,[11],[0.515625],[0],[0.],[9087],[0.12890625],[0.5],[0.],button
3,[11  8  8],[0.515625 0.375    0.375   ],[0 1 1],[0.         0.05853521 0.05853521],[8947 2260 1632],[ 0.12890625 -0.1171875   0.01171875],[0.5        0.35546875 0.375     ],[0. 0. 0.],button
2,[11  8],[0.515625 0.375   ],[0 2],[0.         0.11707043],[8170 1688],[ 0.14453125 -0.08203125],[0.49414062 0.36523438],[0. 0.],button
1,[11],[0.515625],[0],[0.],[7946],[0.14453125],[0.49414062],[0.],button
1,[11],[0.515625],[0],[0.],[7086],[0.14453125],[0.49414062],[0.],button
1,[11],[0.515625],[0],[0.],[7144],[0.14453125],[0.49414062],[0.],button
1,[11],[0.515625],[0],[0.],[7200],[0.14453125],[0.49414062],[0.],button
2,[ 8 11],[0.375    0.515625],[0 0],[0. 0.],[2954 6688],[0.01171875 0.14453125],[0.375      0.49414062],[0. 0.],button
2,[ 8 11],[0.375    0.515625],[0 0],[0. 0.],[2541 6676],[0.01171875 0.14453125],[0.375      0.49414062],[0. 0.],button
3,[ 8 11  8],[0.375    0.515625 0.375   ],[0 0 0],[0. 0. 0.],[2367 6562 2179],[ 0.01171875  0.14453125 -0.12890625],[0.375      0.49414062 0.3515625 ],[0. 0. 0.],button
2,[ 8 11],[0.375    0.515625],[0 0],[0. 0.],[2704 6521],[0.         0.14453125],[0.375      0.49414062],[0. 0.],button
3,[ 8 11 33],[0.375    0.515625 1.546875],[0 0 0],[0. 0. 0.],[2467 6790 1285],[ 0.01171875  0.14453125 -0.33789062],[0.375      0.49414062 1.50976562],[0. 0. 0.],button
