numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[11  7 11],[0.515625 0.328125 0.515625],[ 0 -1  0],[ 0.         -0.05853521  0.        ],[9446 2561 7260],[ 0.14453125  0.         -0.04882812],[0.49414062 0.328125   0.51367188],[0. 0. 0.],background
4,[ 7 11 32  7],[0.328125 0.515625 1.5      0.328125],[0 0 0 0],[0. 0. 0. 0.],[3107 8427 1666 2206],[ 0.04101562  0.14453125 -0.328125   -0.09179688],[0.32617188 0.49414062 1.46289062 0.31445312],[0. 0. 0. 0.],background
2,[11 32],[0.515625 1.5     ],[0 0],[0. 0.],[8466 1666],[ 0.14453125 -0.328125  ],[0.49414062 1.46289062],[0. 0.],background
4,[ 7 11 32  7],[0.328125 0.515625 1.5      0.328125],[0 0 0 0],[0. 0. 0. 0.],[2706 8758 1620 2123],[ 0.02148438  0.14453125 -0.328125   -0.11328125],[0.328125   0.49414062 1.46289062 0.30859375],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[5009 9191 4616 6734],[ 0.00976562  0.14453125 -0.10351562 -0.04882812],[0.328125   0.49414062 0.3125     0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[4889 9740 4719 7424],[-0.08203125  0.14453125  0.03125    -0.04882812],[0.31835938 0.49414062 0.32617188 0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 4646 10486  4473  7917],[ 0.02148438  0.14453125 -0.09179688 -0.04882812],[0.328125   0.49414062 0.31445312 0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 4223 10880  3892  8172],[ 0.02148438  0.14453125 -0.09179688 -0.04882812],[0.328125   0.49414062 0.31445312 0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 6666 11240  5643  8530],[ 0.00976562  0.14453125 -0.11328125 -0.04882812],[0.328125   0.49414062 0.30859375 0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 7288 11376  6169  8702],[ 0.00976562  0.14453125 -0.10351562 -0.04882812],[0.328125   0.49414062 0.3125     0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 9766 11488  8029  8877],[ 0.00976562  0.14453125 -0.11328125 -0.04882812],[0.328125   0.49414062 0.30859375 0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[13470 11345 11298  8686],[ 0.00976562  0.14453125 -0.10351562 -0.04882812],[0.328125   0.49414062 0.3125     0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[13472 11108 11476  8367],[ 0.00976562  0.14453125 -0.10351562 -0.04882812],[0.328125   0.49414062 0.3125     0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 8256 10849  8041  8168],[-0.08203125  0.14453125  0.03125    -0.04882812],[0.31835938 0.49414062 0.32617188 0.51367188],[0. 0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 6050 10809  4458  8259],[ 0.03125     0.14453125 -0.09179688 -0.04882812],[0.32617188 0.49414062 0.31445312 0.51367188],[0. 0. 0. 0.],background
3,[ 7 11 11],[0.328125 0.515625 0.515625],[0 0 0],[0. 0. 0.],[ 6030 10828  8344],[-0.05078125  0.14453125 -0.04882812],[0.32421875 0.49414062 0.51367188],[0. 0. 0.],background
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 8074 10861  7459  8377],[-0.1328125   0.14453125 -0.03125    -0.04882812],[0.30078125 0.49414062 0.32617188 0.51367188],[0. 0. 0. 0.],slideUp
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 7163 10840  6938  8346],[-0.14453125  0.14453125 -0.03125    -0.04882812],[0.29492188 0.49414062 0.32617188 0.51367188],[0. 0. 0. 0.],slideUp
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 7068 10939  6189  8383],[-0.1328125   0.14453125 -0.02148438 -0.04882812],[0.30078125 0.49414062 0.328125   0.51367188],[0. 0. 0. 0.],slideUp
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 7679 10953  6906  8369],[-0.1328125   0.14453125 -0.02148438 -0.04882812],[0.30078125 0.49414062 0.328125   0.51367188],[0. 0. 0. 0.],slideUp
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[11578 11034 10551  8364],[ 0.          0.14453125 -0.12304688 -0.04882812],[0.328125   0.49414062 0.3046875  0.51367188],[0. 0. 0. 0.],slideUp
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[10603 11041  9817  8385],[ 0.          0.14453125 -0.12304688 -0.04882812],[0.328125   0.49414062 0.3046875  0.51367188],[0. 0. 0. 0.],slideUp
4,[ 7 11  7 11],[0.328125 0.515625 0.328125 0.515625],[0 0 0 0],[0. 0. 0. 0.],[ 3843 11044  3474  8386],[-0.14453125  0.14453125  0.15429688 -0.04882812],[0.29492188 0.49414062 0.2890625  0.51367188],[0. 0. 0. 0.],slideUp
4,[11  7 11  7],[0.515625 0.328125 0.515625 0.328125],[ 0 -1  0 -1],[ 0.         -0.05853521  0.         -0.05853521],[11100  2720  8509  2266],[ 0.14453125 -0.1328125  -0.04882812  0.        ],[0.49414062 0.30078125 0.51367188 0.328125  ],[0. 0. 0. 0.],slideUp
3,[11  7 11],[0.515625 0.328125 0.515625],[ 0 -1  0],[ 0.         -0.05853521  0.        ],[11222  2185  8538],[ 0.14453125  0.02148438 -0.04882812],[0.49414062 0.328125   0.51367188],[0. 0. 0.],slideUp
8,[11 34  6 30 11 34  6 30],[0.515625 1.59375  0.28125  1.40625  0.515625 1.59375  0.28125  1.40625 ],[ 0 -6 -5 -5  0 -6 -5 -5],"[ 0.         -0.35121129 -0.29267607 -0.29267607  0.         -0.35121129
 -0.29267607 -0.29267607]",[11017    27   722    44  8303    24   690    36],"[ 0.14453125 -0.54882812 -0.11523438  0.08789062 -0.04882812  0.05078125
 -0.00976562 -0.484375  ]","[0.49414062 1.49609375 0.2578125  1.40429688 0.51367188 1.59375
 0.28125    1.3203125 ]",[0. 0. 0. 0. 0. 0. 0. 0.],slideUp
2,[11  6],[0.515625 0.28125 ],[ 0 -3],[ 0.         -0.17560564],[10745  1793],[0.14453125 0.03515625],[0.49414062 0.27929688],[0. 0.],slideUp
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9288 6951],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],slideUp
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9456 7106],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],slideUp
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9599 7091],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],slideUp
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9610 6986],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],slideUp
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9724 7084],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],slideUp
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9681 6983],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9837 6976],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9916 7029],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
1,[11],[0.515625],[0],[0.],[9903],[0.14453125],[0.49414062],[0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9789 6944],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
2,[11 11],[0.515625 0.515625],[0 0],[0. 0.],[9702 6957],[ 0.14453125 -0.04882812],[0.49414062 0.51367188],[0. 0.],background
