numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z
5,[ 1 43 18 17 43],[0.046875 2.015625 0.84375  0.796875 2.015625],[ 0  0 -5 -1  0],[ 0.          0.         -0.58535215 -0.11707043  0.        ],[1823 4679   60  461 4482],[-0.04492188 -0.25195312 -0.6328125  -0.69726562  0.44140625],[0.01171875 2.         0.55859375 0.38671875 1.96679688],[0. 0. 0. 0. 0.]
5,[43 25 16 43 25],[2.015625 1.171875 0.75     2.015625 1.171875],[ 0  5 -1  0  5],[ 0.          0.58535215 -0.11707043  0.          0.58535215],[4622   29  596 4398   22],[-0.25195312 -0.91601562 -0.6328125   0.44140625  1.02539062],[2.         0.73242188 0.40234375 1.96679688 0.56835938],[0. 0. 0. 0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4603 4374],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
3,[ 1 43 43],[0.046875 2.015625 2.015625],[0 0 0],[0. 0. 0.],[1806 4558 4366],[-0.04492188 -0.25195312  0.44140625],[0.01171875 2.         1.96679688],[0. 0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4542 4328],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
4,[ 1 43 16 43],[0.046875 2.015625 0.75     2.015625],[0 0 1 0],[0.         0.         0.11707043 0.        ],[1798 4538  440 4355],[-0.04492188 -0.25195312 -0.6328125   0.44140625],[0.01171875 2.         0.40234375 1.96679688],[0. 0. 0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4507 4346],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
3,[43 17 43],[2.015625 0.796875 2.015625],[0 1 0],[0.         0.11707043 0.        ],[4480  379 4377],[-0.25195312 -0.671875    0.44140625],[2.         0.42773438 1.96679688],[0. 0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4454 4358],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4526 4328],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4571 4292],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4525 4271],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4524 4269],[-0.25195312  0.44140625],[2.         1.96679688],[0. 0.]
3,[43 19 43],[2.015625 0.890625 2.015625],[ 0 -1  0],[ 0.         -0.11707043  0.        ],[4498  303 4285],[-0.25195312 -0.6953125   0.44140625],[2.         0.55664062 1.96679688],[0. 0. 0.]
6,[43  4 44 19 43 44],[2.015625 0.1875   2.0625   0.890625 2.015625 2.0625  ],[ 0  4  4 -3  0  4],[ 0.          0.46828172  0.46828172 -0.35121129  0.          0.46828172],[4499   40   21  145 4282   20],[-0.25195312  0.0234375   0.45117188 -0.6953125   0.44140625 -0.38671875],[2.         0.18554688 2.01367188 0.55664062 1.96679688 2.02539062],[0. 0. 0. 0. 0. 0.]
7,[43  5 17 23 19 43  5],[2.015625 0.234375 0.796875 1.078125 0.890625 2.015625 0.234375],[ 0  1  1 -4 -3  0  1],"[ 0.          0.11707043  0.11707043 -0.46828172 -0.35121129  0.
  0.11707043]",[4532  446  581   27   87 4411  421],"[-0.25195312 -0.07421875 -0.6484375  -0.91015625 -0.75195312  0.44140625
  0.015625  ]","[2.         0.22265625 0.46484375 0.578125   0.47851562 1.96679688
 0.234375  ]",[0. 0. 0. 0. 0. 0. 0.]
3,[43 21 43],[2.015625 0.984375 2.015625],[ 0 -4  0],[ 0.         -0.46828172  0.        ],[4427   75 4368],[-0.25195312 -0.76953125  0.44140625],[2.         0.61523438 1.96679688],[0. 0. 0.]
4,[43 20 43 20],[2.015625 0.9375   2.015625 0.9375  ],[ 0 -4  0 -4],[ 0.         -0.46828172  0.         -0.46828172],[4449   21 4328   18],[-0.25195312 -0.67382812  0.44140625  0.87890625],[2.         0.65234375 1.96679688 0.32617188],[0. 0. 0. 0.]
5,[17 43 17 17 43],[0.796875 2.015625 0.796875 0.796875 2.015625],[ 0  0 -1  0  0],[ 0.          0.         -0.11707043  0.          0.        ],[ 590 4449  686  429 4325],[-0.6484375  -0.25195312 -0.62304688  0.6484375   0.44140625],[0.46484375 2.         0.49804688 0.46484375 1.96679688],[0. 0. 0. 0. 0.]
3,[18 43 43],[0.84375  2.015625 2.015625],[0 0 0],[0. 0. 0.],[ 583 4513 4304],[-0.71289062 -0.25195312  0.44140625],[0.453125   2.         1.96679688],[0. 0. 0.]
3,[43 18 43],[2.015625 0.84375  2.015625],[ 0 -1  0],[ 0.         -0.11707043  0.        ],[4448  380 4294],[-0.25195312 -0.66015625  0.44140625],[2.         0.52734375 1.96679688],[0. 0. 0.]
3,[43 18 43],[2.015625 0.84375  2.015625],[ 0 -2  0],[ 0.         -0.23414086  0.        ],[4361  119 4125],[ 0.44140625 -0.6328125  -0.25195312],[1.96679688 0.55859375 2.        ],[0. 0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4374 4196],[ 0.44140625 -0.25195312],[1.96679688 2.        ],[0. 0.]
3,[43 17 43],[2.015625 0.796875 2.015625],[ 0 -2  0],[ 0.         -0.23414086  0.        ],[4361  328 4306],[-0.25195312 -0.59765625  0.44140625],[2.         0.52734375 1.96679688],[0. 0. 0.]
2,[43 43],[2.015625 2.015625],[0 0],[0. 0.],[4307 4242],[ 0.44140625 -0.25195312],[1.96679688 2.        ],[0. 0.]
5,[43 19 17 16 43],[2.015625 0.890625 0.796875 0.75     2.015625],[ 0  4 -7 -2  0],[ 0.          0.46828172 -0.81949301 -0.23414086  0.        ],[4453   37  114  284 4188],[ 0.44140625 -0.72460938 -0.62304688 -0.5859375  -0.25195312],[1.96679688 0.51953125 0.49804688 0.46875    2.        ],[0. 0. 0. 0. 0.]
10,[43  4 44 16 54 56 16 43  4 56],"[2.015625 0.1875   2.0625   0.75     2.53125  2.625    0.75     2.015625
 0.1875   2.625   ]",[ 0  3  4 -6 -6 -5 -3  0  3 -5],"[ 0.          0.35121129  0.46828172 -0.70242258 -0.70242258 -0.58535215
 -0.35121129  0.          0.35121129 -0.58535215]",[4763   96   34  509   34   28   91 4626   75   22],"[ 0.44140625 -0.01171875 -0.2578125  -0.5625      2.453125    2.37890625
 -0.609375   -0.25195312  0.05859375 -1.88671875]","[1.96679688 0.1875     2.046875   0.49609375 0.62695312 1.109375
 0.4375     2.         0.17773438 1.82617188]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,[42  4 15 55 19  4 55],[1.96875  0.1875   0.703125 2.578125 0.890625 0.1875   2.578125],[ 0  4 -5 -5 -4  4 -5],"[ 0.          0.46828172 -0.58535215 -0.58535215 -0.46828172  0.46828172
 -0.58535215]",[2662  715  719   30   48  696   24],"[-0.30859375 -0.0234375  -0.54882812  2.3359375  -0.890625    0.046875
 -1.85351562]","[1.9453125  0.18554688 0.43945312 1.08984375 0.         0.18164062
 1.79296875]",[0. 0. 0. 0. 0. 0. 0.]
7,[43  5 45 19 15  5 45],[2.015625 0.234375 2.109375 0.890625 0.703125 0.234375 2.109375],[ 0  1  5 -4 -3  1  5],"[ 0.          0.11707043  0.58535215 -0.46828172 -0.35121129  0.11707043
  0.58535215]",[3536 1177  140   61   71 1128  100],"[-0.25195312  0.03710938 -0.52734375 -0.8359375  -0.63671875 -0.05859375
  1.91210938]","[2.         0.23242188 2.04296875 0.31054688 0.296875   0.2265625
 0.89257812]",[0. 0. 0. 0. 0. 0. 0.]
8,[ 4 42 19 46 21 19  4 19],[0.1875   1.96875  0.890625 2.15625  0.984375 0.890625 0.1875   0.890625],[ 0  0  4  4 -5 -4  0  4],"[ 0.          0.          0.46828172  0.46828172 -0.58535215 -0.46828172
  0.          0.46828172]",[1250 2026   29   33   56   48 1111   27],"[-0.06445312 -0.18554688  0.77929688  1.95507812 -0.984375   -0.8359375
  0.00585938 -0.77929688]","[0.17578125 1.9609375  0.43164062 0.91210938 0.         0.31054688
 0.1875     0.43164062]",[0. 0. 0. 0. 0. 0. 0. 0.]
7,[ 3 42 47 20  5 47  5],[0.140625 1.96875  2.203125 0.9375   0.234375 2.203125 0.234375],[ 0  0  0 -5 -1  0 -1],"[ 0.          0.          0.         -0.58535215 -0.11707043  0.
 -0.11707043]",[1635 1301  923   34 1699  707 1694],"[-0.07421875 -0.18554688 -0.7578125  -0.9375      0.015625    1.65234375
 -0.07421875]","[0.11914062 1.9609375  2.06835938 0.         0.234375   1.45703125
 0.22265625]",[0. 0. 0. 0. 0. 0. 0.]
3,[ 3 43 47],[0.140625 2.015625 2.203125],[0 0 0],[0. 0. 0.],[1565 1088  971],[-0.06640625 -0.12695312 -0.7578125 ],[0.125      2.01171875 2.06835938],[0. 0. 0.]
3,[1 3 3],[0.046875 0.140625 0.140625],[0 0 0],[0. 0. 0.],[1755 1246 1006],[-0.04492188 -0.10546875  0.1015625 ],[0.01171875 0.09375    0.09765625],[0. 0. 0.]
1,[19],[0.890625],[-1],[-0.11707043],[394],[-0.72460938],[0.51953125],[0.]
1,[3],[0.140625],[0],[0.],[3045],[-0.08398438],[0.11328125],[0.]
1,[3],[0.140625],[0],[0.],[2667],[-0.05273438],[0.13085938],[0.]
3,[ 3 18 18],[0.140625 0.84375  0.84375 ],[0 1 1],[0.         0.11707043 0.11707043],[2767  356  298],[-0.04492188 -0.66015625  0.71289062],[0.1328125  0.52734375 0.453125  ],[0. 0. 0.]
2,[3 3],[0.140625 0.140625],[0 0],[0. 0.],[2789 2599],[-0.00976562 -0.05273438],[0.140625   0.13085938],[0. 0.]
2,[3 3],[0.140625 0.140625],[0 0],[0. 0.],[3048 2393],[-0.00390625 -0.05273438],[0.140625   0.13085938],[0. 0.]
3,[3 3 3],[0.140625 0.140625 0.140625],[0 3 3],[0.         0.35121129 0.35121129],[2949 1156  962],[-0.03515625  0.01367188  0.0625    ],[0.13671875 0.140625   0.12695312],[0. 0. 0.]
